package,stars,downloads,gallery,description,CRAN
ggplot2,NA,157342219,NA,Create Elegant Data Visualisations Using the Grammar of Graphics,TRUE
ggrepel,1228,23011984,TRUE,Automatically Position Non-Overlapping Text Labels with 'ggplot2',TRUE
cowplot,712,17585895,TRUE,Streamlined Plot Theme and Plot Annotations for 'ggplot2',TRUE
ggpubr,1154,16010917,TRUE,'ggplot2' Based Publication Ready Plots,TRUE
ggsci,676,11907748,TRUE,Scientific Journal and Sci-Fi Themed Color Palettes for 'ggplot2',TRUE
ggsignif,597,11848693,TRUE,Significance Brackets for 'ggplot2',TRUE
patchwork,2504,7478460,TRUE,NA,NA
ggmap,NA,7248973,NA,Spatial Visualization with ggplot2,TRUE
GGally,594,6621835,TRUE,Extension to 'ggplot2',TRUE
ggthemes,1326,6135104,TRUE,"Extra Themes, Scales and Geoms for 'ggplot2'",TRUE
ggforce,918,5092963,TRUE,Accelerating 'ggplot2',TRUE
ggridges,414,4764474,TRUE,Ridgeline Plots in 'ggplot2',TRUE
tidytext,NA,3948715,NA,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",TRUE
ggraph,1083,3593692,TRUE,An Implementation of Grammar of Graphics for Graphs and Networks,TRUE
ggtext,657,3234025,TRUE,Improved Text Rendering Support for 'ggplot2',TRUE
hrbrthemes,1252,2964676,TRUE,"Additional Themes, Theme Components and Utilities for 'ggplot2'",TRUE
ggfortify,528,2865808,TRUE,Data Visualization Tools for Statistical Analysis Results,TRUE
waterfalls,NA,2582665,NA,Create Waterfall Charts using 'ggplot2' Simply,TRUE
survminer,521,2343498,TRUE,Drawing Survival Curves using 'ggplot2',TRUE
ggdendro,NA,1805561,NA,Create Dendrograms and Tree Diagrams Using 'ggplot2',TRUE
ggeffects,NA,1787658,NA,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs,TRUE
ggcorrplot,189,1744427,TRUE,Visualization of a Correlation Matrix using 'ggplot2',TRUE
ggplotify,NA,1564833,NA,Convert Plot to 'grob' or 'ggplot' Object,TRUE
ggfun,NA,1434595,NA,Miscellaneous Functions for 'ggplot2',TRUE
ggstance,201,1407868,TRUE,Horizontal 'ggplot2' Components,TRUE
ggbeeswarm,546,1327916,TRUE,Categorical Scatter (Violin Point) Plots,TRUE
ggplot2movies,NA,1276704,NA,Movies Data,TRUE
ggfittext,306,1268209,TRUE,Fit Text Inside a Box in 'ggplot2',TRUE
ggformula,38,1258877,TRUE,Formula Interface to the Grammar of Graphics,TRUE
ggstats,35,1251052,TRUE,Extension to 'ggplot2' for Plotting Stats,TRUE
aplot,NA,1223130,NA,Decorate a 'ggplot' with Associated Information,TRUE
gganimate,1958,1194759,TRUE,A Grammar of Animated Graphics,TRUE
