package,description,downloads,CRAN
gg.gap,Define Segments in y-Axis for 'ggplot2',41677,TRUE
gg1d,Exploratory Data Analysis using Tiled One-Dimensional Graphics,584,TRUE
ggalign,A 'ggplot2' Extension for Consistent Axis Alignment,3920,TRUE
ggaligner,Visualizing Sequence Alignment by Generating Publication-Ready Plots,3306,TRUE
ggalignment,Plots 'D&D'-Style Alignment Charts,9478,TRUE
ggallin,Grab Bag of 'ggplot2' Functions,34839,TRUE
ggalluvial,Alluvial Plots in 'ggplot2',641831,TRUE
GGally,Extension to 'ggplot2',6600460,TRUE
ggalt,"Extra Coordinate Systems, 'Geoms', Statistical Transformations, Scales and Fonts for 'ggplot2'",497072,TRUE
gganimate,A Grammar of Animated Graphics,1189971,TRUE
ggarchery,Flexible Segment Geoms with Arrows for 'ggplot2',15866,TRUE
ggarrow,Arrows for 'ggplot2',5069,TRUE
ggautomap,Create Maps from a Column of Place Names,3276,TRUE
ggbeeswarm,Categorical Scatter (Violin Point) Plots,1321443,TRUE
ggbiplot,A Grammar of Graphics Implementation of Biplots,61557,TRUE
ggblanket,Simplify 'ggplot2' Visualisation,26704,TRUE
ggblend,Blending and Compositing Algebra for 'ggplot2',5870,TRUE
ggborderline,Line Plots that Pop,14028,TRUE
ggbrace,Curly Braces for 'ggplot2',3733,TRUE
ggbrain,Create Images of Volumetric Brain Data in NIfTI Format Using 'ggplot2' Syntax,8337,TRUE
ggbreak,Set Axis Break for 'ggplot2',156125,TRUE
ggbrick,Waffle Style Chart with a Brick Layout in 'ggplot2',2215,TRUE
ggBubbles,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',19488,TRUE
ggbuildr,Save Incremental Builds of Plots,24614,TRUE
ggbump,Bump Chart and Sigmoid Curves,35563,TRUE
ggchangepoint,Combines Changepoint Analysis with 'ggplot2',8343,TRUE
ggcharts,Shorten the Distance from Data Visualization Idea to Actual Plot,35753,TRUE
ggChernoff,Chernoff Faces for 'ggplot2',31577,TRUE
ggcleveland,Implementation of Plots from Cleveland's Visualizing Data Book,10706,TRUE
ggcompare,Mean Comparison in 'ggplot2',1094,TRUE
ggcorrplot,Visualization of a Correlation Matrix using 'ggplot2',1735583,TRUE
ggcorset,The Corset Plot,10593,TRUE
ggdag,Analyze and Create Elegant Directed Acyclic Graphs,209882,TRUE
ggdark,Dark Mode for 'ggplot2' Themes,78276,TRUE
ggdaynight,Add Day/Night Patterns to 'ggplot2' Plots,4960,TRUE
ggdemetra,'ggplot2' Extension for Seasonal and Trading Day Adjustment with 'RJDemetra',36269,TRUE
ggdendro,Create Dendrograms and Tree Diagrams Using 'ggplot2',1801935,TRUE
ggdensity,Interpretable Bivariate Density Visualization with 'ggplot2',26579,TRUE
ggdist,Visualizations of Distributions and Uncertainty,798913,TRUE
ggdmc,Cognitive Models,34482,TRUE
ggDoE,Modern Graphs for Design of Experiments with 'ggplot2',8030,TRUE
ggDoubleHeat,A Heatmap-Like Visualization Tool,9351,TRUE
gge,Genotype Plus Genotype-by-Environment Biplots,94748,TRUE
ggeasy,Easy Access to 'ggplot2' Commands,103112,TRUE
GGEBiplots,GGE Biplots with 'ggplot2',40593,TRUE
ggedit,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,99538,TRUE
ggeffects,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs,1779426,TRUE
ggenealogy,Visualization Tools for Genealogical Data,41450,TRUE
ggESDA,Exploratory Symbolic Data Analysis with 'ggplot2',8985,TRUE
ggetho,Visualisation of High-Throughput Behavioural (i.e. Ethomics) Data,42133,TRUE
ggExtra,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2' Enhancements",891736,TRUE
ggfacto,Graphs for Correspondence Analysis,7572,TRUE
ggfields,Add Vector Field Layers to Ggplots,2074,TRUE
ggfigdone,Manage & Modify 'ggplot' Figures using 'ggfigdone',1405,TRUE
ggFishPlots,Visualise and Calculate Life History Parameters for Fisheries Science using 'ggplot2',5599,TRUE
ggfittext,Fit Text Inside a Box in 'ggplot2',1265371,TRUE
ggfixest,Dedicated 'ggplot2' Methods for 'fixest' Objects,6044,TRUE
ggflowchart,Flowcharts with 'ggplot2',6430,TRUE
ggfocus,Scales that Focus Specific Levels in your ggplot(),25048,TRUE
ggfootball,Plotting Expected Goals (xG) Stats with 'Understat' Data,283,TRUE
ggforce,Accelerating 'ggplot2',5069250,TRUE
ggformula,Formula Interface to the Grammar of Graphics,1256146,TRUE
ggfortify,Data Visualization Tools for Statistical Analysis Results,2858306,TRUE
ggfoundry,Shape Foundry & Geom for 'ggplot2',1845,TRUE
ggfun,Miscellaneous Functions for 'ggplot2',1422658,TRUE
ggfx,Pixel Filters for 'ggplot2' and 'grid',47907,TRUE
gggap,Streamlined Creation of Segments on the Y-Axis of 'ggplot2' Plots,12095,TRUE
gggenes,Draw Gene Arrow Maps in 'ggplot2',203441,TRUE
gggenomes,A Grammar of Graphics for Comparative Genomics,2979,TRUE
ggghost,Capture the Spirit of Your 'ggplot2' Calls,30598,TRUE
gggibbous,"Moon Charts, a Pie Chart Alternative",40905,TRUE
gggrid,Draw with 'grid' in 'ggplot2',14633,TRUE
ggh4x,Hacks for 'ggplot2',302853,TRUE
gghalfnorm,Create a Half Normal Plot Using 'ggplot2',29973,TRUE
gghalves,Compose Half-Half Plots Using Your Favourite Geoms,161852,TRUE
gghdx,"HDX Theme, Scales, and Other Conveniences for 'ggplot2'",4290,TRUE
ggheatmap,Plot Heatmap,24310,TRUE
gghighlight,Highlight Lines and Points in 'ggplot2',296650,TRUE
gghilbertstrings,A Fast 'ggplot2'-Based Implementation of Hilbert Curves,11694,TRUE
gghist,Plot the Histogram of a Numeric Vector,4047,TRUE
ggHoriPlot,Horizon Plots for 'ggplot2',14259,TRUE
ggimage,Use Image in 'ggplot2',473304,TRUE
ggimg,Graphics Layers for Plotting Image Data with 'ggplot2',23263,TRUE
gginference,Visualise the Results of Inferential Statistics using 'ggplot2',36466,TRUE
gginnards,Explore the Innards of 'ggplot2' Objects,100325,TRUE
ggip,Data Visualization for IP Addresses and Networks,16510,TRUE
ggiraph,Make 'ggplot2' Graphics Interactive,836072,TRUE
ggiraphExtra,Make Interactive 'ggplot2'. Extension to 'ggplot2' and 'ggiraph',285714,TRUE
ggisotonic,'ggplot2' Friendly Isotonic or Monotonic Regression Curves,25084,TRUE
ggjoy,Joyplots in 'ggplot2',96584,TRUE
gglgbtq,Show Pride on 'ggplot2' Plots,6388,TRUE
gglm,Grammar of Graphics for Linear Model Diagnostic Plots,42484,TRUE
gglogger,Track 'ggplot2' Calls,2123,TRUE
gglorenz,Plotting Lorenz Curve with the Blessing of 'ggplot2',34506,TRUE
ggmap,Spatial Visualization with ggplot2,7242504,TRUE
ggmapcn,Customizable China Map Visualizations,442,TRUE
ggmapinset,Add Inset Panels to Maps,6535,TRUE
ggmatplot,Plot Columns of Two Matrices Against Each Other Using 'ggplot2',10633,TRUE
ggmice,Visualizations for 'mice' with 'ggplot2',18253,TRUE
ggmosaic,Mosaic Plots in the 'ggplot2' Framework,342468,TRUE
ggmugs,Visualization of Multiple Genome-Wide Association Study Summary Statistics,5857,TRUE
ggmuller,Create Muller Plots of Evolutionary Dynamics,44254,TRUE
ggmulti,High Dimensional Data Visualization,19785,TRUE
ggnetwork,Geometries to Plot Networks with 'ggplot2',316786,TRUE
ggnewscale,Multiple Fill and Colour Scales in 'ggplot2',973424,TRUE
ggnormalviolin,A 'ggplot2' Extension to Make Normal Violin Plots,23021,TRUE
ggnuplot,Make 'ggplot2' Look Like 'gnuplot',12389,TRUE
ggOceanMaps,Plot Data on Oceanographic Maps using 'ggplot2',29460,TRUE
ggokabeito,'Okabe-Ito' Scales for 'ggplot2' and 'ggraph',72242,TRUE
ggordiplots,Make 'ggplot2' Versions of Vegan's Ordiplots,10914,TRUE
ggpackets,Package Plot Layers for Easier Portability and Modularization,14473,TRUE
ggpage,Creates Page Layout Visualizations,26036,TRUE
ggparallel,Variations of Parallel Coordinate Plots for Categorical Data,63703,TRUE
ggparty,'ggplot' Visualizations for the 'partykit' Package,69784,TRUE
ggpath,Robust Image Rendering Support for 'ggplot2',20624,TRUE
ggpattern,'ggplot2' Pattern Geoms,189209,TRUE
ggpca,"Publication-Ready PCA, t-SNE, and UMAP Plots",2344,TRUE
ggpcp,Parallel Coordinate Plots in the 'ggplot2' Framework,5947,TRUE
ggperiodic,Easy Plotting of Periodic Data with 'ggplot2',29978,TRUE
ggpie,"Pie, Donut and Rose Pie Plots",22233,TRUE
ggplate,Create Layout Plots of Biological Culture Plates and Microplates,10646,TRUE
ggplot.multistats,Multiple Summary Statistics for Binned Stats/Geometries,192372,TRUE
ggplot2,Create Elegant Data Visualisations Using the Grammar of Graphics,156933706,TRUE
ggplot2.utils,Selected Utilities Extending 'ggplot2',101574,TRUE
ggplot2movies,Movies Data,1272626,TRUE
ggplotAssist,'RStudio' Addin for Teaching and Learning 'ggplot2',55781,TRUE
ggplotgui,Create Ggplots via a Graphical User Interface,79568,TRUE
ggplotify,Convert Plot to 'grob' or 'ggplot' Object,1554843,TRUE
ggplotlyExtra,Extra Convenience Functions for 'Plotly',39792,TRUE
ggpmisc,Miscellaneous Extensions to 'ggplot2',787975,TRUE
ggPMX,'ggplot2' Based Tool to Facilitate Diagnostic Plots for NLME Models,42501,TRUE
ggpointdensity,A Cross Between a 2D Density Plot and a Scatter Plot,82172,TRUE
ggpointless,Additional Geometries and Stats for 'ggplot2',9189,TRUE
ggpol,Visualizing Social Science Data with 'ggplot2',156051,TRUE
ggpolar,Dots and Their Connections in Polar Coordinate System,10279,TRUE
ggpolypath,Polygons with Holes for the Grammar of Graphics,76675,TRUE
ggpp,Grammar Extensions to 'ggplot2',574987,TRUE
ggprism,A 'ggplot2' Extension Inspired by 'GraphPad Prism',165198,TRUE
ggpubr,'ggplot2' Based Publication Ready Plots,15953404,TRUE
ggpval,Annotate Statistical Tests for 'ggplot2',47012,TRUE
ggQC,Quality Control Charts for 'ggplot',62165,TRUE
ggQQunif,Compare Big Datasets to the Uniform Distribution,23290,TRUE
ggquickeda,Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary Tables,128813,TRUE
ggquiver,Quiver Plots for 'ggplot2',41764,TRUE
ggragged,Ragged Grids for 'ggplot2',4638,TRUE
ggrain,A Rainclouds Geom for 'ggplot2',28758,TRUE
ggRandomForests,Visually Exploring Random Forests,101865,TRUE
ggraph,An Implementation of Grammar of Graphics for Graphs and Networks,3580261,TRUE
ggraptR,Allows Interactive Visualization of Data Through a Web Browser GUI,113385,TRUE
ggrastr,Rasterize Layers for 'ggplot2',474189,TRUE
ggrcs,Draw Histograms and Restricted Cubic Splines (RCS),17507,TRUE
ggredist,"Scales, Geometries, and Extensions of 'ggplot2' for Election Mapping",5670,TRUE
ggrepel,Automatically Position Non-Overlapping Text Labels with 'ggplot2',22940349,TRUE
ggResidpanel,Panels and Interactive Versions of Diagnostic Plots using 'ggplot2',155043,TRUE
ggreveal,Reveal a 'ggplot' Incrementally,2510,TRUE
ggridges,Ridgeline Plots in 'ggplot2',4743757,TRUE
ggrisk,Risk Score Plot for Cox Regression,27880,TRUE
ggrounded,Rounded Bar Plots,4290,TRUE
ggRtsy,Add Some Van Gogh Colors and Overlay Colors on Your 'ggplot()',3071,TRUE
ggsankeyfier,Create Sankey and Alluvial Diagrams Using 'ggplot2',5075,TRUE
ggScatRidges,Scatter Plot Combined with Ridgelines in 'ggplot2',3379,TRUE
