package,stars,downloads,gallery
ggQQunif,8,23290,TRUE
ggupset,354,147365,TRUE
xmrr,7,24925,TRUE
ggpcp,1,5947,TRUE
gg3D,104,NA,TRUE
ggQC,46,62165,TRUE
ggdist,857,798913,TRUE
ggedit,250,99538,TRUE
ggpage,340,26036,TRUE
ggpca,2,2344,TRUE
ggbreak,133,156125,TRUE
ggimg,53,23263,TRUE
gganatogram,383,NA,TRUE
ggforce,918,5069250,TRUE
ggalt,670,497072,TRUE
ggiraph,817,836072,TRUE
ggmuller,64,44254,TRUE
ggstance,201,1405678,TRUE
ggrepel,1228,22940349,TRUE
ggraph,1083,3580261,TRUE
gginnards,24,100325,TRUE
ggpp,127,574987,TRUE
ggpmisc,102,787975,TRUE
geomnet,97,37333,TRUE
ggExtra,385,891736,TRUE
ggfortify,528,2858306,TRUE
autoplotly,88,54748,TRUE
gganimate,1958,1189971,TRUE
ggfx,170,47907,TRUE
plotROC,87,374350,TRUE
ggbump,541,35563,TRUE
ggthemes,1326,6118988,TRUE
ggspectra,5,70770,TRUE
ggstatsplot,2070,606354,TRUE
ggnetwork,147,316786,TRUE
ggtech,393,NA,TRUE
ggradar,340,NA,TRUE
ggx,151,12628,TRUE
ggTimeSeries,255,46559,TRUE
ggtree,858,NA,TRUE
ggseas,74,116013,TRUE
ggsci,676,11871480,TRUE
ggmosaic,168,342468,TRUE
survminer,521,2333100,TRUE
ggeasy,274,103112,TRUE
ggside,345,271919,TRUE
ggcorrplot,189,1735583,TRUE
ggpubr,1154,15953404,TRUE
ggthemr,898,NA,TRUE
GGally,594,6600460,TRUE
ggseqlogo,211,146982,TRUE
ggChernoff,36,31577,TRUE
ggridges,414,4743757,TRUE
lemon,187,279283,TRUE
cowplot,712,17503084,TRUE
qqplotr,51,446393,TRUE
ggalluvial,506,641831,TRUE
patchwork,2504,7421692,TRUE
ggquiver,51,41764,TRUE
ggsignif,597,11814171,TRUE
ggdag,441,209882,TRUE
ggformula,38,1256146,TRUE
ggbeeswarm,546,1321443,TRUE
ggperiodic,21,29978,TRUE
ggpol,105,156051,TRUE
ggpirate,26,NA,TRUE
esquisse,1791,646386,TRUE
ggdark,199,78276,TRUE
sugrrants,82,67819,TRUE
tvthemes,140,40119,TRUE
ggfittext,306,1265371,TRUE
ggparty,147,69784,TRUE
gggenes,524,203441,TRUE
gggenomes,641,2979,TRUE
treemapify,215,1014544,TRUE
lindia,104,57330,TRUE
gghalves,244,161852,TRUE
ggrastr,220,474189,TRUE
ggpointdensity,422,82172,TRUE
ggsom,13,26495,TRUE
ggnewscale,410,973424,TRUE
ggh4x,602,302853,TRUE
ggarrow,54,5069,TRUE
legendry,211,2221,TRUE
ggcharts,292,35753,TRUE
humapr,9,NA,TRUE
ggshadow,60,15519,TRUE
ggseg,219,24139,TRUE
mdthemes,80,19150,TRUE
ggwordcloud,174,197992,TRUE
ggasym,13,39233,TRUE
gglorenz,31,34506,TRUE
hrbrthemes,1252,2959311,TRUE
ggpattern,364,189209,TRUE
ggtext,657,3219059,TRUE
calendR,255,50171,TRUE
ggip,27,16510,TRUE
gglm,79,42484,TRUE
econocharts,252,NA,TRUE
ComplexUpset,486,67288,TRUE
ggchromatic,13,NA,TRUE
ggheatmap,87,24310,TRUE
see,897,699738,TRUE
directlabels,82,564998,TRUE
ggHoriPlot,144,14259,TRUE
ggtrace,15,7298,TRUE
ggESDA,21,8985,TRUE
geomtextpath,629,103344,TRUE
ggdensity,229,26579,TRUE
ggtranscript,135,NA,TRUE
piecepackr,59,34101,TRUE
oblicubes,20,5652,TRUE
ggDoubleHeat,14,9351,TRUE
nflplotR,20,31575,TRUE
ggbraid,81,1239,TRUE
ggblanket,168,26704,TRUE
ggpie,48,22233,TRUE
ggstar,100,61576,TRUE
ggarchery,32,15866,TRUE
tidyterra,187,164246,TRUE
ggseqplot,14,16594,TRUE
ggsurvfit,3,154373,TRUE
ggsector,4,7682,TRUE
ggterror,0,NA,TRUE
ggragged,35,4638,TRUE
ggmapinset,36,6535,TRUE
ggmagnify,278,NA,TRUE
ggblend,184,5870,TRUE
ggflowchart,88,6430,TRUE
ggrain,75,28758,TRUE
ggoutlierscatterplot,4,NA,TRUE
ggautothemes,2,NA,TRUE
AMR,91,131349,TRUE
ichimoku,31,57126,TRUE
eheat,12,NA,TRUE
ggstats,35,1232770,TRUE
ggfoundry,17,1845,TRUE
ggalign,227,3920,TRUE
ggreveal,33,2510,TRUE
geofacet,340,89299,TRUE
tidyplots,415,9728,TRUE
rphylopic,91,37465,TRUE
deeptime,90,27250,TRUE
